"NEW CARS BY MAKE","Image","Sales Person","Q4","OCT","NOV","DEC","Q4 Totals","YTD","Related Personnels",
"DODGE","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FDODGE.Image.104508.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Henry","","12","33","14","59","271","",
"FIAT","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FFIAT.Image.104440.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Henry","","11","14","4","29","194","",
"LEXUS","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FLEXUS.Image.105817.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Henry","","70","65","66","201","712","Henry",
"JAGUAR","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FJAGUAR.Image.104739.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Jo","","33","48","20","101","354","Jo",
"LAMBORGHINI","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FLAMBORGHINI.Image.104203.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Jo","","1","2","1","4","22","",
"MASERATI","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FMASERATI.Image.105950.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Jo","","4","9","3","16","132","",
"ASTON MARTIN","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FASTON%20MARTIN.Image.105323.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","John","","4","4","3","11","61","",
"AUDI","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FAUDI.Image.093410.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","John","","127","163","146","436","2,062","John",
"BMW","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FBMW.Image.094447.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","John","","142","161","139","442","1,957","",
"CHEVROLET","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FCHEVROLET.Image.104642.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","John","","2","1","2","5","17","",
"CITROEN","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FCITROEN.Image.104535.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","John","","12","28","10","50","234","",
"HONDA","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FHONDA.Image.104342.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Josh","","386","414","363","1,163","4,624","Josh",
"MERCEDES-BENZ","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FMERCEDES-BENZ.Image.093645.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Josh","","191","231","194","616","2,541","",
"RANGE ROVER","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FRANGE%20ROVER.Image.093851.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Josh","","1","1","4","6","16","",
"ROLLS-ROYCE","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FROLLS-ROYCE.Image.111130.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Josh","","10","21","11","42","141","",
"MINI","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FMINI.Image.094615.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Kerry","","53","44","35","132","670","",
"MITSUBISHI","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FMITSUBISHI.Image.110508.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Kerry","","641","710","662","2,013","7,392","Kerry",
"PEUGEOT","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FPEUGEOT.Image.110651.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Kerry","","62","80","65","207","781","",
"PORSCHE","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FPORSCHE.Image.093805.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Kerry","","20","27","15","62","355","",
"BENTLEY","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FBENTLEY.Image.105113.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Larry","","3","8","2","13","46","",
"FERRARI","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FFERRARI.Image.093508.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Larry","","4","3","2","9","35","",
"RENAULT","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FRENAULT.Image.110928.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Larry","","116","11","144","271","1,364","Larry",
"FORD","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FFORD.Image.104925.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Marylin","","432","213","399","1,044","4,527","",
"MAZDA","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FMAZDA.Image.110111.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Marylin","","598","601","623","1,822","7,015","Marylin",
"NISSAN","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FNISSAN.Image.093735.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Marylin","","389","440","354","1,183","4,796","",
"HYUNDAI","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FHYUNDAI.Image.104242.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Min","","814","637","445","1,896","7,009","Min",
"TOYOTA","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FTOYOTA.Image.111629.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Min","","345","234","129","708","3,081","",
"MCLAREN","https://www.appsheet.com/template/gettablefileurl?appName=CopyofSalesReport-845115&TableName=CarSales&fileName=CarSales_Images%2FMCLAREN.Image.110244.jpg&resizeImage=true&imageWidth=600&appVersion=1.000003","Min","","2","1","1","4","34","",
